game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
community.population | ~ | How many people are playing: enough to fill a match, or not.
community.player-conduct | ~ | How other players act: griefing, cheating, quitting, carelessness — and the opposite, a community worth playin
community.playing-with-friends | ~ | The experience specifically with known people.
community.culture | ~ | Shared language, rituals and identity among players.
community.moderation | ~ | How the studio runs its own community spaces.
community.developer-communication | ~ | What the studio says, and whether it listens.
community.social-features | ~ | Voice, text, pings, and other means of coordinating.
community.user-created-content | ~ | Mods, workshop, custom content, or their absence.
community.crossplay-and-platform-mix | ~ | Playing across platforms or input devices.
community.unknown | ~ | The player relationship is the subject, no aspect named.
localization.translation-quality | ~ | Accuracy and naturalness of translated text.
localization.language-availability | ~ | Whether the person's language is supported at all.
localization.voice-localization | ~ | Dubbed or localised speech.
localization.text-rendering | ~ | Fonts, character sets, encoding, text fitting its box.
localization.currency-and-formats | ~ | Whether currency, dates and number formats are adapted for the region. Display only.
localization.language-barrier-in-multiplayer | ~ | Being matched with players you cannot communicate with.
localization.unknown | ~ | A language or region issue, unspecified.
accessibility.motor | ~ | What the game demands of the player's hands and reaction speed.
accessibility.vision | ~ | Whether the game can be seen and read: colour, contrast, text size.
accessibility.hearing | ~ | Whether information carried by sound is available another way.
accessibility.phobia | ~ | Content depicting a common phobia: spiders, snakes, heights, flying, needles, drowning, clowns, clustered hole
accessibility.trauma | ~ | Content depicting events tied to trauma: combat, assault, domestic abuse, death of a loved one, discrimination
accessibility.addiction | ~ | Content depicting addictive substances or behaviour: alcohol, drugs, gambling, and gambling-shaped mechanics.
accessibility.self-harm | ~ | Content depicting self-harm, suicide, or disordered eating.
accessibility.mental-health-portrayal | ~ | How the game **writes** characters with mental health conditions, as experienced by a player who has one.
accessibility.memory-and-attention | ~ | What the game asks the player to hold in their head - what an icon means, which key opens which door, how many
accessibility.unknown | ~ | Accessibility raised, no aspect named.
storefront.trading-cards | ~ | The platform's collectible cards for this game: whether they exist, and how they are given out.
storefront.unknown | ~ | The shop's own features raised, no aspect named.
storefront.trading-cards.no-cards-for-this-game | - | The game has no trading cards and the reviewer names that as a lack.
storefront.trading-cards.cards-gated-behind-playtime | - | The cards only drop after hours of play, and the reviewer reads that as a trick to keep them playing.
storefront.trading-cards.unknown | ~ | Cards raised, no mode given.
accessibility.motor.playable-one-handed | + | The game can be played with one hand, by design or by accident.
accessibility.motor.works-with-an-adapted-setup | + | A player who cannot use the standard controls found a setup that works, and says so.
accessibility.motor.unknown | ~ | Physical demands raised, no mode given.
accessibility.vision.unknown | ~ | Seeing or reading the game raised, no mode given.
accessibility.hearing.unknown | ~ | Hearing the game raised, no mode given.
sentiment | ~ | positive / negative | `voted_up`. Never inferred.
genre | ~ | per game | Set on the game.
helpfulness | ~ | `votes_up`, `weighted_vote_score` | A **weight**, not a bucket.
acquisition | ~ | purchased / free / unknown | `steam_purchase`, `received_for_free`.
game-design.ai-teammates.helps-in-combat | + | Bots contribute real damage or crowd control.
game-design.ai-teammates.useless-in-combat | - | Bots fail to fight: poor aim, poor target choice, stand idle.
game-design.ai-teammates.revives-reliably | + | Bots pick you up when you go down.
game-design.ai-teammates.fails-to-revive | - | Bots ignore a downed player or cannot reach them.
game-design.ai-teammates.follows-well | + | Bots keep up and stay useful in position.
game-design.ai-teammates.gets-stuck | - | Bots snag on terrain, fall behind, or path badly.
game-design.ai-teammates.available-offline | + | Bots let the game be played without other people or servers.
game-design.ai-teammates.no-bots-provided | - | No bot fill, so a missing player cannot be replaced.
game-design.ai-teammates.unknown | ~ | Bots raised, no mode given.
game-design.game-feel.combat.impactful | + | Hits land with weight and feedback.
game-design.game-feel.combat.weightless | - | Weapons lack punch; hits feel like nothing.
game-design.game-feel.combat.unknown | ~ | Combat feel raised, no mode given.
game-design.progression.unlock-pace.grindy | - | Too much repetition required to reach the next thing.
game-design.progression.unlock-pace.gated-behind-farming | - | Progress requires farming before normal play is possible.
game-design.progression.unlock-pace.everything-earnable | + | All content is reachable by playing, with no paid shortcut.
game-design.progression.unlock-pace.unknown | ~ | Pace raised, no mode given.
game-design.progression.complexity.overwhelming-at-first | ~ | Hard to grasp initially. Often paired with a positive verdict once learned.
game-design.progression.complexity.rewarding-once-learned | + | The depth pays off after the learning cost.
game-design.progression.complexity.overcomplicated | - | Complexity that adds nothing the simpler version lacked.
game-design.progression.complexity.shallow | - | Too little depth to sustain interest.
game-design.progression.complexity.unknown | ~ | Complexity raised, no mode given.
game-design.enemy-design.too-few-on-screen | - | Fewer enemies present than the genre or the pitch implies.
game-design.enemy-design.unfair-spawns | - | Enemies appear with no chance to react.
game-design.enemy-design.variety-lacking | - | The same enemies repeat without meaningful difference.
game-design.enemy-design.memorable-specials | + | Distinct enemy types that create stories.
game-design.enemy-design.unknown | ~ | Enemies raised, no mode given.
game-design.readability.geometry-unclear | - | Cannot tell what is walkable, solid, or a drop.
game-design.readability.threats-unclear | - | Cannot tell what is attacking or from where.
game-design.readability.unknown | ~ | Readability raised, no mode given.
engineering.performance.runs-well-on-modest-hardware | + | Performs acceptably below the recommended spec.
engineering.performance.unstable-framerate | - | Frame rate swings during normal play.
engineering.performance.stutter | - | Hitching or micro-freezes.
engineering.performance.unknown | ~ | Performance raised, no mode given.
engineering.stability.crashes-repeatedly | - | Crashes often enough to interrupt play.
engineering.stability.crashes-on-specific-event | - | Reproducible crash tied to one trigger.
engineering.stability.progress-not-saved | - | Play is lost: saves, unlocks, or run state.
engineering.stability.unknown | ~ | Stability raised, no mode given.
publishing.price.too-high-for-what-it-is | - | Asking price exceeds delivered value.
publishing.price.too-high-given-abandonment | - | Full price still charged for a game no longer supported.
publishing.price.fair | + | Price matches what is delivered.
publishing.price.unknown | ~ | Price raised, direction unclear.
production.content-variety.repetitive | - | Sessions feel the same as each other.
production.content-variety.recycled-assets | - | Later content visibly reuses earlier content.
production.content-variety.varied-runs | + | Sessions differ enough to stay interesting.
production.content-variety.unknown | ~ | Variety raised, no mode given.
live-ops.abandonment.updates-stopped | - | No further updates, stated or observed.
live-ops.abandonment.known-bugs-never-fixed | - | Defects persist across the whole support window.
live-ops.abandonment.still-supported | + | Active, continuing support.
live-ops.abandonment.unknown | ~ | Support raised, no mode given.
community.player-conduct.quitting-mid-match | - | Players leave and abandon the team.
marketing.positioning.successor-claim-backfired | - | Framed against a predecessor it then invited comparison to.
marketing.positioning.invited-unfair-comparison | - | The framing set a bar the game was never going to clear.
marketing.positioning.unknown | ~ | Positioning raised, no mode given.
marketing.reputation.judged-unfairly | + | The reviewer argues the game's reputation is worse than the game.
marketing.reputation.reputation-deserved | - | The reviewer argues the bad reputation is accurate.
marketing.reputation.recovered-over-time | + | The game is seen as better now than at launch.
marketing.reputation.unknown | ~ | Reputation raised, no direction given.
community.culture.shared-ritual | + | Players have a catchphrase, salute or in-joke they use unprompted.
community.culture.welcoming-to-newcomers | + | New or weak players are helped rather than blamed.
community.culture.identity-players-adopt | + | Players describe themselves using the game's own language.
community.culture.no-shared-identity | - | Nothing about the game gives players a common thing to be.
community.culture.unknown | ~ | Culture raised, no mode given.
community.moderation.heavy-handed | - | Moderation of the studio's own spaces feels punitive or opaque.
community.moderation.took-away-community-spaces | - | A community space players relied on was closed or changed.
community.moderation.well-run | + | The studio's spaces are managed in a way players endorse.
community.moderation.unknown | ~ | Moderation raised, no mode given.
game-design.solo-viability.works-solo | + | Fully playable and enjoyable alone.
game-design.solo-viability.punishing-solo | - | Playable alone but noticeably harder or worse.
game-design.solo-viability.unplayable-alone | - | Effectively unplayable without other people.
game-design.solo-viability.unknown | ~ | Solo play raised, no mode given.
game-design.session-flexibility.good-in-short-sittings | + | A satisfying amount can be done in a small block of time.
game-design.session-flexibility.demands-long-sessions | - | A worthwhile run needs more time than a player can usually give.
game-design.session-flexibility.unknown | ~ | Session length raised, no mode given.
game-design.role-design.every-role-needed | + | Each class has a job the others cannot do.
game-design.role-design.roles-feel-samey | - | Class choice does not meaningfully change the team.
game-design.role-design.role-underpowered | - | One role is clearly worse than the others.
game-design.role-design.unknown | ~ | Roles raised, no mode given.
publishing.monetisation-practice.cosmetic-only | + | Paid extras never affect play.
publishing.monetisation-practice.pay-affects-play | - | Money buys an advantage.
publishing.monetisation-practice.aggressive-storefront | - | Selling is pushed at the player during normal play.
publishing.monetisation-practice.unknown | ~ | Monetisation raised, no mode given.
live-ops.abandonment.diverted-to-other-projects | - | Support moved to a sequel or spin-off while this game still needed it.
live-ops.patch-quality.made-it-worse | - | A change degraded something that previously worked.
live-ops.patch-quality.fixed-what-mattered | + | A change repaired a real complaint.
live-ops.patch-quality.content-thin | - | Updates arrive but add little.
live-ops.patch-quality.unknown | ~ | A patch is the subject, no mode given.
production.content-variety.procedurally-varied | + | Generated content keeps sessions different from each other.
localization.language-barrier-in-multiplayer.cannot-communicate-with-teammates | - | Matched with players who share no common language.
localization.language-barrier-in-multiplayer.unknown | ~ | Raised, no mode given.
game-design.new-player-experience.late-joiner-outmatched | - | Years of accumulated content or power leave a new player unable to keep up.
game-design.new-player-experience.needs-carrying | - | Getting started requires experienced players to tow you.
game-design.new-player-experience.easy-to-start | + | A newcomer can play properly on their first session.
game-design.new-player-experience.unknown | ~ | Starting out raised, no mode given.
game-design.difficulty-tuning.player-too-fragile | - | The player dies faster than the game's pace supports.
game-design.difficulty-tuning.well-graded | + | Difficulty levels are distinct and let players pick their own.
game-design.difficulty-tuning.too-easy | - | No meaningful resistance.
game-design.difficulty-tuning.unknown | ~ | Difficulty raised, no mode given.
game-design.progression.unlock-pace.grind-feels-earned | + | The repetition is long but the payoff justifies it.
community.developer-communication.ignores-feedback | - | Players raise something repeatedly and nothing changes.
community.developer-communication.adversarial | - | The studio is experienced as fighting its own players.
community.developer-communication.misreads-what-players-want | - | The studio acts on a theory of the fun that players do not share.
community.developer-communication.listens-and-acts | + | Feedback visibly changes the game.
community.developer-communication.unknown | ~ | Communication raised, no mode given.
live-ops.patch-quality.nerfs-what-players-liked | - | Repeated weakening of the things players enjoyed most.
live-ops.patch-quality.forced-unwanted-feature | - | Something added that players want removed and cannot opt out of.
community.playing-with-friends.much-better-with-friends | + | The game is transformed by playing with people you know.
community.playing-with-friends.poor-with-strangers | - | Matchmade play is a markedly worse experience.
community.playing-with-friends.fine-with-strangers | + | Random groups work well.
community.playing-with-friends.unknown | ~ | Who you play with raised, no mode given.
publishing.monetisation-practice.mtx-in-premium-game | - | In-game purchases on top of a full-price purchase.
publishing.monetisation-practice.currency-earnable-by-playing | + | Paid currency can be obtained without paying.
engineering.stability.destabilises-the-system | - | Damage beyond the game: the machine, audio, or OS needs recovery.
engineering.servers.high-latency | - | Playable but laggy from where the player is.
engineering.servers.frequent-disconnects | - | Players or whole teams drop mid-session.
engineering.servers.requires-third-party-accelerator | - | A VPN or accelerator is needed for a playable connection.
engineering.servers.unavailable-at-peak-hours | - | Unusable during the hours the player would normally play.
engineering.servers.no-local-servers | - | No server presence near the player at all.
engineering.servers.stable | + | Connections hold up.
engineering.servers.unknown | ~ | Servers raised, no mode given.
localization.translation-quality.well-localized | + | Translation reads naturally and carries the tone, not just the words.
localization.translation-quality.machine-translated | - | Reads as untouched automatic translation.
localization.translation-quality.partial | - | Some of the game is translated and some is not.
localization.translation-quality.unknown | ~ | Translation raised, no mode given.
narrative.tone.satire-lands | + | The game's joke is understood and enjoyed.
narrative.tone.takes-itself-too-seriously | - | The tone is heavier than the game supports.
narrative.tone.unknown | ~ | Tone raised, no mode given.
audio.voice-performance.memorable-lines | + | Voice lines players quote or look forward to.
audio.voice-performance.grating-or-repetitive | - | Lines wear out or irritate.
audio.voice-performance.unknown | ~ | Voice raised, no mode given.
game-design.ai-teammates.enables-solo-play | + | A bot companion makes playing alone genuinely viable.
game-design.game-feel.camera.brings-you-close-to-the-action | + | The view puts the player inside the fight.
game-design.game-feel.camera.obscures-the-action | - | The view hides what the player needs to see.
game-design.game-feel.camera.disorienting | - | The view makes the game hard to read or physically uncomfortable.
game-design.game-feel.camera.unknown | ~ | Camera raised, no mode given.
game-design.punishment-model.quick-recovery-keeps-flow | + | Failing costs little and play resumes fast, so the session does not stall.
game-design.punishment-model.harsh-restart | - | Failing costs a large amount of progress or time.
game-design.punishment-model.one-retry-only | - | A single failure ends the whole attempt.
game-design.punishment-model.unknown | ~ | The cost of failing is raised, no mode given.
review.positive.unknown | + | Thumbs up, and the reviewer named nothing.
review.negative.unknown | - | Thumbs down, and the reviewer named nothing.
review.thumb-contradicts-text | ~ | **The thumb and the words disagree and we cannot tell which is meant.**
game-design.progression.build-and-customisation.changes-how-you-play | + | Build choices genuinely alter play, not just numbers.
game-design.progression.build-and-customisation.deep-and-varied | + | Many viable builds to explore.
game-design.progression.build-and-customisation.shallow-options | - | Customisation exists but barely changes anything.
game-design.progression.build-and-customisation.unknown | ~ | Building raised, no mode given.
game-design.level-design.well-built | + | The spaces are designed well for play.
game-design.level-design.confusing-layout | - | Hard to tell where to go.
game-design.level-design.repetitive-layouts | - | The places blur into each other.
game-design.level-design.unknown | ~ | Level design raised, no mode given.
game-design.replayability.keeps-pulling-you-back | + | Worth starting again, repeatedly.
game-design.replayability.runs-out-fast | - | Reasons to replay are exhausted quickly.
game-design.replayability.unknown | ~ | Replaying raised, no mode given.
game-design.co-op-design.demands-coordination | + | The game does not work unless the team works together.
game-design.co-op-design.rewards-teamwork | + | Playing well together is visibly better than playing alone nearby.
game-design.co-op-design.one-player-can-carry | - | A strong player makes the others unnecessary.
game-design.co-op-design.unknown | ~ | Co-op raised, no mode given.
game-design.modes.good-selection | + | The ways to play on offer satisfy.
game-design.modes.expected-mode-missing | - | A mode the player expected does not exist.
game-design.modes.unknown | ~ | Modes raised, no mode given.
game-design.power-balance.well-tuned | + | Options and enemies are sensibly matched.
game-design.power-balance.resources-too-scarce | - | Ammo, health or supplies run out faster than play allows.
game-design.power-balance.resources-too-plentiful | - | Supply is so generous that nothing is at stake.
game-design.power-balance.one-option-dominates | - | A single choice outclasses the rest.
game-design.power-balance.unknown | ~ | Balance raised, no mode given.
game-design.game-feel.movement.responsive | + | Moving feels immediate and controlled.
game-design.game-feel.movement.sluggish | - | Moving feels heavy or delayed.
game-design.game-feel.movement.unknown | ~ | Movement raised, no mode given.
art.fidelity.looks-great | + | Visual quality impresses.
art.fidelity.looks-dated | - | Looks older than its release.
art.fidelity.rough-in-places | - | Quality is uneven; some assets let it down.
art.fidelity.unknown | ~ | Visual quality raised, no mode given.
art.character-design.appealing-cast | + | The characters look good.
art.character-design.generic-cast | - | The characters look interchangeable or uninspired.
art.character-design.unknown | ~ | Character looks raised, no mode given.
art.environment-art.evocative-places | + | The places are worth looking at.
art.environment-art.low-quality-assets | - | Textures or set dressing are visibly poor.
art.environment-art.unknown | ~ | Environment art raised, no mode given.
audio.sound-effects.punchy | + | Weapons and impacts sound powerful.
audio.sound-effects.weak-or-thin | - | Sound undersells what is happening.
audio.sound-effects.unknown | ~ | Sound effects raised, no mode given.
narrative.characters-writing.funny-or-memorable | + | The cast's lines land.
narrative.characters-writing.flat-or-annoying | - | The cast fails to charm or actively grates.
narrative.characters-writing.unknown | ~ | Character writing raised, no mode given.
production.content-amount.plenty | + | Enough to keep going for a long time.
production.content-amount.too-little | - | Runs out sooner than expected for the price.
production.content-amount.levels-too-short | - | Individual maps or missions end too quickly.
production.content-amount.unknown | ~ | Amount raised, no mode given.
engineering.matchmaking.finds-games-fast | + | Getting into a match is quick.
engineering.matchmaking.slow-to-find-games | - | Long waits to fill a match.
engineering.matchmaking.cannot-find-games | - | Matchmaking fails to produce a game at all.
engineering.matchmaking.unknown | ~ | Matchmaking raised, no mode given.
community.population.healthy | + | Enough people playing to fill matches.
community.population.dead-game | - | Too few players left to play normally.
community.population.unknown | ~ | Player numbers raised, no mode given.
community.crossplay-and-platform-mix.works-well | + | Playing across platforms is smooth and widens the pool.
community.crossplay-and-platform-mix.other-platform-players-worse | - | Players from another platform are experienced as a problem.
community.crossplay-and-platform-mix.unknown | ~ | Crossplay raised, no mode given.
live-ops.update-cadence.steady-stream | + | Updates arrive regularly.
live-ops.update-cadence.awaiting-promised-content | ~ | Content has been announced and the player is waiting.
live-ops.update-cadence.too-slow | - | Updates are too rare to hold interest.
live-ops.update-cadence.unknown | ~ | Update pace raised, no mode given.
game-design.enemy-design.overwhelming-numbers | - | More enemies at once than the player can reasonably handle. **The inverse of `.too-few-on-screen`.**
game-design.difficulty-tuning.random-rule-changes-welcome | + | Rules that change per run (mutators, modifiers) keep it fresh and challenging.
game-design.difficulty-tuning.random-rule-changes-frustrating | - | Rules that change per run feel arbitrary or unfair rather than interesting.
engineering.performance.well-optimised | + | Runs smoothly. Use when no specific hardware claim is made.
game-design.game-feel.controls.responsive-and-clear | + | Input does what the player expects, immediately.
game-design.game-feel.controls.missing-expected-bindings | - | A control the player expected does not exist at all.
game-design.game-feel.controls.unresponsive | - | Input is laggy, dropped, or badly tuned.
game-design.game-feel.controls.rebind-anything | + | The player can remap any input to any key or button they want.
game-design.game-feel.controls.cannot-rebind | - | The keys or buttons are fixed and the player cannot change them.
game-design.game-feel.controls.profiles-for-every-setup | + | The game ships more than one saved control layout and lets the player switch between them.
game-design.game-feel.controls.one-control-layout-only | - | A single fixed layout, with nothing to switch to.
game-design.game-feel.controls.unknown | ~ | Controls raised, no mode given.
game-design.ui-ux.clear-and-usable | + | Menus and on-screen information do their job.
game-design.ui-ux.hard-to-navigate | - | Finding or selecting what you want is a chore.
game-design.ui-ux.hides-information | - | The player cannot see something they need to decide.
game-design.ui-ux.unknown | ~ | Interface raised, no mode given.
narrative.story.worth-following | + | The story holds interest.
narrative.story.thin-or-forgettable | - | There is a story and it does not land.
narrative.story.unknown | ~ | Story raised, no mode given.
community.user-created-content.mods-extend-the-game | + | Community content adds real life to the game.
community.user-created-content.no-mod-support | - | The absence of mods or a workshop limits it.
community.user-created-content.unknown | ~ | Mods raised, no mode given.
publishing.sale-dependency.buy-on-sale-only | - | Recommended only at a discount.
publishing.sale-dependency.worth-it-at-any-price | + | Worth buying without waiting.
publishing.sale-dependency.unknown | ~ | Sale timing raised, no mode given.
publishing.dlc-and-editions.content-behind-a-second-purchase | - | Things the player expected in the base game cost extra.
publishing.dlc-and-editions.dlc-is-fair | + | Paid add-ons are optional and reasonably priced.
publishing.dlc-and-editions.unknown | ~ | Paid add-ons raised, no mode given.
marketing.promise-vs-reality.delivered-less-than-promised | - | What shipped falls short of what was advertised.
marketing.promise-vs-reality.claim-was-untrue | - | A specific marketing claim did not hold.
marketing.promise-vs-reality.unknown | ~ | The pitch raised, no mode given.
publishing.refund.refunded | - | Says they returned the game and got their money back.
publishing.refund.rebought-after-refund | ~ | Refunded it, then bought it again later — usually on sale.
publishing.refund.wanted-to-but-could-not | - | Wanted a refund and was outside the window or refused.
publishing.refund.considered-refunding | - | Says they nearly returned it.
publishing.refund.unknown | ~ | A refund is mentioned with no direction.
marketing.positioning.successor-framing-accepted | + | The reviewer endorses the successor framing rather than resenting it.
game-design.progression.unlock-pace.satisfying-progression | + | There is a progression system and unlocking things feels good.
community.player-conduct.unskilled-or-careless | - | Other players play badly or ignore what the game tells them. **Not malice — that is `.trolls-and-griefers`.**
community.playing-with-friends.needs-a-group | - | The reviewer has nobody to play with and the game suffers for it.
game-design.enemy-design.good-variety | + | Enough different enemies to keep encounters distinct. **Inverse of `.variety-lacking`.**
game-design.enemy-design.forgettable-specials | - | The distinctive enemies fail to make an impression. **Inverse of `.memorable-specials`.**
game-design.enemy-design.poor-ai-behaviour | - | Enemies behave stupidly or unconvincingly.
game-design.difficulty-tuning.satisfyingly-hard | + | Demanding in a way the player enjoys.
game-design.difficulty-tuning.lowered-after-complaints | - | The studio reduced the difficulty and this reviewer objects.
game-design.difficulty-tuning.badly-scaled | - | The jump between difficulty levels is wrong — usually a cliff at the top.
game-design.game-feel.combat.sluggish-weapon-handling | - | Swapping, reloading or readying a weapon is slower than it should be.
game-design.world-interaction.world-reacts-to-you | + | Things break, move or light up, but it does not change how you play.
game-design.world-interaction.destruction-changes-play | + | Breaking or moving the world changes what the player can do — cover, routes, sightlines.
game-design.world-interaction.world-ignores-you | - | The world ignores the player. Shooting a lamp or a television does nothing.
game-design.world-interaction.hazards-in-the-world | ~ | The world can hurt or help you — explosive barrels, alarms, collapsing floors.
game-design.world-interaction.unknown | ~ | World interaction raised, no mode given.
publishing.regional-pricing.fair-in-my-currency | + | The local price is reasonable for what the player earns.
publishing.regional-pricing.priced-for-another-country | - | The local price is set for a richer market and is out of reach.
publishing.regional-pricing.unknown | ~ | Local price named, no verdict on it.
production.launch-state.shipped-in-good-shape | + | It worked on release day.
production.launch-state.shipped-broken | - | It was unfinished, unstable or unplayable when it came out.
production.launch-state.unknown | ~ | Release period named, no verdict on it.
production.scope-mismatch.did-more-than-it-promised | + | It reached further than the player expected of it.
production.scope-mismatch.wasted-its-potential | - | It could have been more and settled for less.
production.scope-mismatch.unknown | ~ | Scope raised, no verdict on it.
engineering.bugs.rare-and-minor | + | Few bugs, and none that matter.
engineering.bugs.harmless-and-funny | ~ | Bugs the player noticed and enjoyed; they do not affect play.
engineering.bugs.buggy | - | The player reports bugs and does not say what they break.
engineering.bugs.breaks-play | - | A bug stops a session, loses progress, or spoils a run.
engineering.bugs.exploit-players-enjoy | + | A bug players use on purpose because it is fun.
engineering.bugs.exploit-ruins-the-game | - | A bug players use to gain an unfair advantage over others.
engineering.bugs.unknown | ~ | Bugs raised, nothing said about them.
art.visual-direction.looks-well-directed | + | The style works, and the player says so.
art.visual-direction.copies-another-games-look | - | The look is lifted from something else.
art.visual-direction.forgettable-look | - | Nothing about the look stays with the player.
art.visual-direction.unknown | ~ | The look is the subject, no verdict on it.
game-design.solo-viability.no-progression-solo | - | Playing alone earns none of the game's unlocks or currency, so solo players fall behind.
game-design.progression.build-and-customisation.choices-cannot-be-undone | - | A build choice is permanent when the player expected to change it — an attachment that cannot come off, a card
game-design.enemy-design.good-ai-behaviour | + | Enemies behave convincingly and make fights interesting. **Inverse of `.poor-ai-behaviour`.**
engineering.matchmaking.cannot-rejoin-a-match | - | A player who drops, or whose team leaves, cannot get back into the game.
publishing.data-and-privacy.collects-more-than-expected | - | The player found the game taking data they did not agree to give.
publishing.data-and-privacy.unknown | ~ | Data collection raised, no verdict on it.
engineering.platform-support.not-supported-at-all | - | No official build for the player's platform; they run it another way and lose things.
engineering.netcode.smooth-online | + | Online play feels the same as offline: hits land, positions agree.
engineering.netcode.lag-and-desync | - | Positions and hits disagree between machines — hit through walls, rubber-banding, delayed damage.
engineering.netcode.unknown | ~ | Online behaviour raised, no mode given.
engineering.performance.small-install-size | + | Takes little disk space or downloads quickly.
engineering.performance.huge-install-size | - | Takes more disk space or download time than the player thinks it should.
game-design.randomness.randomness-keeps-it-fresh | + | Chance makes each run different in a way the player enjoys.
game-design.randomness.luck-decides-the-outcome | - | Whether the player wins is settled by the draw, not by how they played.
game-design.randomness.unknown | ~ | Chance raised, no mode given.
