# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
built r397 game-design.ai-teammates.a-living-bot-does-not-keep-the-mission-alive	7773	round 303	one-sighting	space-marine-2	ai-teammates.unknown	179603532	-	a bot teammate alive does not keep the mission alive	Mission fails if two players die and an AI is still alive.
existing r397 re-homed to game-design.ai-teammates.bots-play-it-for-you	7927	round 310	one-sighting	space-marine-2	ai-teammates.unknown	204978219	-	the bots do the fighting and you run the errands	you wind up being a dogsbody whilst your AI team mates do the actual fighting.
built r397 art.atmosphere.too-many-enemies-to-keep-the-mystery	2092	gap 71	open-gap	redfall	art.atmosphere.falls-flat	165222785	-	so many enemies the place stops being mysterious	It would have been better to use the enemies more sparingly
built r397 game-design.world-interaction.the-hub-feels-empty	5720	gap 248	open-gap	aliens-fireteam-elite	art.atmosphere.falls-flat	226234220	-	the hub is full of people and none of them do anything	The marine ship feels dead, een though there are some marines on board there is simply no interaction whatsoever.
built r397 game-design.ui-ux.the-game-outlines-every-enemy-for-you	6790	gap 308	build-on-third	aliens-fireteam-elite	art.atmosphere.a-tool-undoes-the-mood	223871859	-	the game marks/outlines the enemies for you (second sighting parked on art.visual-direction.off-putting-look)	if you press mouse 2 to aim, all aliens get a yellow silhouet marking so on top off all it looks like ass too.
built r397 art.character-design.embarrassing-to-have-on-screen-around-others	3372	gap 124	one-sighting	terminull-brigade	art.character-design.cast-is-off-putting	201520607	-	game not safe to have on screen with family in the room	I literally had to turn off the game because I didn't feel okay launching it with my family around.
built r397 game-design.progression.build-and-customisation.the-options-for-one-gender-are-poor	6288	gap 277	open-gap	aliens-fireteam-elite	art.character-design.unknown	192686658	-	the character creator's options for one gender are poor	The female character options leave a lot to be desired, they all look very masculine
built r397 art.character-design.a-known-creature-does-not-look-like-itself	6676	gap 299	open-gap	aliens-fireteam-elite	art.character-design.unknown	224924454	-	the creature does not look like itself (wrong model)	all of the Xenos just look wrong... I feel like I am just blowing away waves of chimpanzees dressed in Alien costumes.
built r397 game-design.progression.cosmetic-rewards.the-outfits-make-you-look-silly	7222	gap 336	one-sighting	arc-raiders	art.character-design.cast-is-off-putting	214041904	-	the cosmetics make the player look ridiculous	be ready to look like an absolute goofy doofus with there character customization/apparel.
built r397 art.effects-and-gore.too-little-gore	6359	gap 282	open-gap	aliens-fireteam-elite	art.effects-and-gore.unknown	202170940	-	not enough gore for the source it adapts	There is way too less gore in this game. To get authentic Alien feeling, maximum gore is mandatory.
existing r398 stays on art.effects-and-gore.unknown (the line says nothing either way)	8909	round 370	one-sighting	risk-of-rain-2	art.effects-and-gore.unknown	161302917	~	Lights and colors - nothing said either way	Lights and colors
built r398 narrative.story.cutscenes-are-well-made	2277	gap 80	open-gap	redfall	art.visual-direction.looks-well-directed	223348343	+	`narrative.story.cutscenes-are-well-made`	awesome intro cinematic
built r398 art.visual-direction.the-style-looks-like-a-budget-choice	2686	gap 99	one-sighting	the-anacrusis	art.visual-direction.forgettable-look	130354249	-	art style reads as a budget decision, not an artistic choice	Did they go with the retro 60's style because it was easier? Sure doesn't look better.
built r398 audio.mixing.the-opening-is-far-louder-than-the-game	4032	gap 153	one-sighting	terminull-brigade	audio.mixing.unknown	203081549	-	one part (intro) far louder than the rest of the game	Your intro volume is stupid. Match it with the rest of the game.
built r398 audio.mixing.the-opening-is-far-louder-than-the-game	4374	gap 166	one-sighting	terminull-brigade	audio.mixing.unknown	214212484	-	game opens at a volume that startles the player	
built r398 audio.mixing.the-sound-plays-in-one-ear-only	8588	round 343	one-sighting	remnant-2	audio.mixing.unknown	229855395	-	directional audio plays only in the left ear while running	
built r398 audio.music.jumps-between-styles-with-no-theme	3230	gap 117	one-sighting	the-anacrusis	audio.music.unknown	207628501	-	music has no consistent theme, jumps between genres	It makes the whole game feel like it has no theme.
built r398 audio.music.best-played-with-your-own-music	6219	gap 274	open-gap	aliens-fireteam-elite	audio.music.unknown	188826495	?	the player supplies the soundtrack; game does not get in the way	
built r398 audio.music.cuts-in-and-out	8075	round 317	one-sighting	remnant-2	audio.music.unknown	143173256	-	music cuts in and out (transition defect)	really good music but cuts in and out weirdly and abruptly.
skip: the 'first game had X' tally is open with Rico	8700	round 357	watch	risk-of-rain-2	audio.music.forgettable-or-annoying	93823566	-	the first game had X pattern (Rico-open) - the first game was a different genre and its music was phenomenal	
built r398 audio.sound-effects.the-world-sounds-alive	1972	gap 66	open-gap	redfall	audio.sound-effects.unknown	138780276	+	ambient world sound builds the place	environmental sound design. Just roam through the neighborhood and listen to it
built r398 audio.sound-effects.a-sound-wears-you-down	6383	gap 284	open-gap	aliens-fireteam-elite	audio.sound-effects.unknown	197325200	-	a weapon's sound stops the player using it	the way it sounded when shooting just REALLY grated on my ears. Can't stand those two guns.
built r398 audio.sound-effects.a-sound-wears-you-down	8227	round 323	one-sighting	remnant-2	audio.sound-effects.unknown	145398201	-	sound-effects.a-sound-that-wears-you-down	It is irritating and makes people have headache, worst map ever.
built r398 audio.mixing.opens-at-a-comfortable-volume	8410	round 331	one-sighting	remnant-2	audio.sound-effects.unknown	155513808	+	audio.sound-effects.the-menu-is-not-deafening	A modern game that does not blow out your eardrums when you first open it 10/10.
built r398 audio.sound-effects.sounds-great	9121	round 380	one-sighting	risk-of-rain-2	audio.sound-effects.unknown	224994808	+	sound design praise with nothing named	the sound design is peak
built r398 community.developer-communication.will-not-say-where-it-used-ai	7103	gap 327	one-sighting	arc-raiders	audio.voice-performance.unknown	208435714	-	the studio is unclear about where it used AI voice work; credit the cast	they're not getting more money or time from me until they give full credit to their voice cast
existing r398 stays on the-voices-are-generated-and-it-shows (the line ends on the sound being bland)	7236	gap 327/334	build-on-third	arc-raiders	audio.voice-performance.the-voices-are-generated-and-it-shows	216643504	-	ethics half: studio replaced its cast with AI and pay is unclear (not a refusal)	Embark made the decision to train AI to use and recreate the voices of voice actors... a really scummy practise
built r398 audio.voice-performance.should-have-paid-voice-actors	7318	gap 327/334	open-gap	arc-raiders	audio.voice-performance.the-voices-are-generated-and-it-shows	220131803	-	objects to how the cast was treated (AI voices), without refusing the game	stop being such cheap losers, pay some voice actors.
built r398 audio.voice-performance.the-players-lines-are-the-only-ones-unvoiced	8457	round 333	one-sighting	remnant-2	audio.voice-performance.unknown	165433529	-	voice-performance.the-players-lines-are-the-only-ones-unvoiced	why the lines I pick aren't voiced, when everything else is.
existing r398 fits build-and-customisation.cannot-change-how-you-look (the backpack cannot come off)	8588	round 343	one-sighting	remnant-2	build-and-customisation.cannot-change-how-you-look	228040776	-	cannot remove the backpack from the character (quit over it)	
built r399 review.tells-other-reviewers-how-to-vote	907	gap 21	open-gap	helldivers-2	community.culture.unknown	165433162	?	`community.culture.reviewers-organise-each-other`	Do not change your review to a positive one again. This is not the end.
built r399 review.the-thumb-is-aimed-at-other-players (new bullet; the fanbase bullet stays)	1172	gap 27	open-gap	helldivers-2	community.culture.the-fanbase-puts-me-off	171715487	?	`review.thumb-is-aimed-at-other-players`	超级叛徒只配超级差评 (super traitors deserve only super negative reviews)
built r399 community.culture.players-sorted-themselves-into-groups	7188	gap 333	one-sighting	arc-raiders	community.culture.unknown	209803514	+	the players organised themselves into factions (praise)	The community has 'fractions'... And the community did it all by themselves!
built r399 community.culture.the-players-map-the-secrets-together	8175	round 321	one-sighting	remnant-2	community.culture.unknown	144280701	+	community.culture.the-players-map-the-secrets-together	people posting stuff they discover discussing about the game.
built r399 community.culture.a-place-to-make-friends	9084	round 378	one-sighting	risk-of-rain-2	community.culture.unknown	212816313	+	good to make friends	good to make friends
built r399 review.says-few-people-will-read-it	796	gap 18	one-sighting	helldivers-2	community.developer-communication.unknown	165438427	?	`community.developer-communication.no-route-for-an-idea-but-the-review-box`	I won't go into details because not many people are going to see this review anyway.
built r399 community.developer-communication.stopped-punishing-criticism	835	gap 19	open-gap	helldivers-2	community.developer-communication.listens-and-acts	165437435	+	`community.developer-communication.criticism-is-allowed-to-stand`	managing a community instead of a discord prison, this game is goty material.
existing r399 new bullet on review.kept-as-a-ledger-of-what-the-studio-fixed; feedback bullet stays on listens-and-acts	2388	gap 86	one-sighting	the-anacrusis	community.developer-communication.listens-and-acts	108031523	~	review kept as a running ledger striking out complaints as the studio fixed them	[strike] 3. No vote/kick function… [/strike] Just fixed with the free weekend!
built r399 community.developer-communication.only-the-moderators-answer	3732	gap 139	one-sighting	terminull-brigade	community.developer-communication.went-silent-after-a-bad-launch	201948956	-	studio silent; volunteer moderators speak for it	there was absolutely no word from the devs. Just a handful of moderators "assuring" it's getting worked on.
built r399 community.developer-communication.no-way-to-reach-the-studio	3751	gap 140	one-sighting	terminull-brigade	community.developer-communication.support-request-went-unanswered	201940388	-	no way to contact the studio at all	Can not find a way to contact to the game developers or company to report the issue
built r399 community.developer-communication.hid-the-player-count	3960	gap 149	one-sighting	terminull-brigade	community.developer-communication.unknown	203730584	-	studio hid the player count on the Community Hub	hid how many ingame on the Community Hub. Signs of a sinking ship.
built r399 community.developer-communication.looks-after-one-region-only	4447	gap 177	one-sighting	terminull-brigade	community.developer-communication.ignores-feedback	227205592	-	studio fixes one region's servers and not another's	
built r399 community.developer-communication.denies-a-bug-players-can-show	4448	gap 178	one-sighting	terminull-brigade	community.developer-communication.ignores-feedback	219828133	-	studio denied a bug the player documented with repro steps	
built r399 community.moderation.left-unmoderated (bullet split; silence stays on went-silent)	4449	gap 179	one-sighting	terminull-brigade	community.developer-communication.went-silent-after-a-bad-launch	224900562	-	studio's own chat channel unmoderated, carries scam posts	
built r399 community.developer-communication.no-remedy-for-a-purchase-that-went-wrong	4450	gap 180	one-sighting	terminull-brigade	community.developer-communication.support-request-went-unanswered	228789443	-	purchase delivered the wrong item with no remedy	
built r399 community.developer-communication.not-open-about-its-plans	4747	gap 199	open-gap	aliens-fireteam-elite	community.developer-communication.unknown	100234073	-	negative twin of open-about-what-it-is-doing: studio not transparent about plans	Lack of transparency with the game's development.
built r399 review.the-thumb-is-encouragement-not-a-verdict	6990	gap 319	open-gap	zombie-girl	community.developer-communication.written-to-the-studio-not-to-the-buyer	148210236	~	thumbs up given as encouragement to the studio, not as a verdict	this praise can be regarded as a little encouragement to the production team
existing r399 re-homed to community.moderation.heavy-handed; staff name removed	7273	gap 338	one-sighting	arc-raiders	community.developer-communication.players-know-the-staff-by-name	217295295	-	the studio staff moderated by a streamer friend's word, not evidence	with no investigation, nothing, just takes Peaachxo's word for it
skip: the publisher-communication split is open with Rico	8676	round 354	watch	risk-of-rain-2	community.developer-communication.unknown	83687960	~	sixth Gearbox-era mention: "Gearbox slightly cares"	Gearbox slightly cares
built r399 community.developer-communication.visibly-working-on-the-problems	8963	round 373	one-sighting	risk-of-rain-2	community.developer-communication.unknown	181184333	+	the devs seem to be actively working to sort out the issues	the Devs seem to be actively working to sort out the issues
built r400 community.developer-communication.the-developers-play-with-us	9196	round 385	one-sighting	warframe	community.developer-communication.unknown	776269	+	developers seen playing alongside players (+ twin of the-studio-does-not-play-its-own-game)	
built r400 community.developer-communication.support-is-unhelpful-in-general	9206	round 386	one-sighting	warframe	community.developer-communication.unknown	7718930	-	support does not help (general verdict, by hearsay)	
built r400 community.developer-communication.feedback-only-through-an-outside-chat-app	4484	gap 185	one-sighting	aliens-fireteam-elite	community.moderation.unknown	98587485	-	bug reports/feedback only through a third-party chat platform behind sign-up	Bug reporting and all feedback are done through discord.
existing r400 fits community.player-conduct.unskilled-or-careless (the subscription is the cause; the tree records the feeling)	2321	gap 83	open-gap	the-anacrusis	community.player-conduct.unskilled-or-careless	111246111	-	players who came free through a subscription play badly	People from gamepass will choose one to pick up, or none of them.
existing r400 re-homed to community.culture.the-fanbase-puts-me-off	3281	gap 120	one-sighting	the-anacrusis	community.player-conduct.unknown	219373901	-	community (Discord players) turns on dissent	Their Discord server members are not very mature, and people get easily pissed when you have different opinions.
built r400 game-design.progression.build-and-customisation.two-choices-together-leave-you-helpless (bullet split)	5734	gap 249	open-gap	aliens-fireteam-elite	community.player-conduct.the-review-teaches-you-how-to-play	146693230	-	two working systems combine to leave the player unable to act	NEVER use the 'Stuck Magazine' card, when using the N79 EVA Laser. You LITERALLY end up screwed
built r400 community.player-conduct.players-ambush-the-objective	7412	round 287	one-sighting	arc-raiders	community.player-conduct.trolls-and-griefers	232925246	-	players lie in wait at quest locations (objective as ambush spot)	People also just hide out at quest locations... and kill people.
built r400 community.player-conduct.pvp-opponents-feel-like-bots	7885	round 308	one-sighting	space-marine-2	community.player-conduct.unknown	195506351	-	the PvP feels like playing against bots	The PvP feels like playing against bots
built r400 community.player-conduct.a-cheater-can-damage-your-save	8564	round 340	one-sighting	remnant-2	community.player-conduct.cheaters-spoil-matches	206126223	-	no DRM so pirated copies can join; a cheater can corrupt your co-op save	
built r400 community.player-conduct.scammers-work-the-trading	9266	round 391	one-sighting	warframe	community.player-conduct.unknown	14133119	-	the trade chat is full of scammers	
built r400 community.playing-with-friends.a-keepsake-of-someone-gone	1108	gap 28	open-gap	helldivers-2	community.playing-with-friends.much-better-with-friends	178129695	?	`community.playing-with-friends.what-is-left-of-someone`	This was the last game I got to play with my Wife before she suddenly passed away
built r400 community.playing-with-friends.fills-in-for-couch-co-op	6596	gap 295	open-gap	aliens-fireteam-elite	community.playing-with-friends.unknown	221215129	+	it stands in for the couch co-op that is gone	Great for guys who miss the couch surfing co-op days.
existing r400 fits community.playing-with-friends.poor-with-strangers	6607	gap 296	open-gap	aliens-fireteam-elite	community.playing-with-friends.poor-with-strangers	222733459	~	who you play with changes what kind of game it is (story vs shooter)	i prefer private because public make it feel like more of a shooter rather than the story game.
built r400 community.population.most-owners-never-played-it	3193	gap 116	one-sighting	the-anacrusis	community.population.dead-game	176679912	-	achievement stats show most owners never launched it	it's a rare achievement to even OPEN the game
built r400 community.population.only-busy-at-certain-hours	6004	gap 261	open-gap	aliens-fireteam-elite	community.population.the-numbers-are-falling	166889307	-	the game is only populated at certain hours (weekends)	the player base seems to be active mostly during the weekend, out of that time frame it is hard to find other players
built r400 community.population.thinner-than-hoped-but-playable	8868	round 368	one-sighting	risk-of-rain-2	community.population.unknown	149731343	~	public multiplayer less populated than hoped, not dead	the lack of intuitive matchmaking is holding back some people from co-op with strangers
built r400 community.population.the-early-areas-are-empty	9195	round 385	one-sighting	warframe	community.population.unknown	2435922	-	the early star-chart nodes are empty while later ones are full	
built r400 community.population.one-mode-has-no-players	9207	round 386	build-on-third	warframe	community.population.unknown	7660006	-	one mode (Conclave PvP) has no players (build on a third)	
built r400 community.social-features.the-group-finder-works	3491	gap 130	one-sighting	terminull-brigade	community.social-features.good-tools-for-coordinating	201801824	+	out-of-match recruitment system is how people actually group	players are easy to find if you dont rely on matchmaking aka use the good old recruitment system
built r400 community.social-features.the-group-finder-covers-only-some-modes	3851	gap 145	one-sighting	terminull-brigade	community.social-features.good-tools-for-coordinating	202880237	-	group-finding/recruit tool covers only some game modes	Recruiting function works for only the two basic game modes.
built r401 community.social-features.only-a-player-run-chat-fills-a-lobby	4852	gap 206	open-gap	aliens-fireteam-elite	community.social-features.only-the-studio-chat-fills-a-lobby	100147455	-	rename existing mode: a player-run (unofficial) channel fills the lobby, not the studio's	To find a game you either need to spam an unofficial Discord channel, or load up a game and change the map
existing r401 re-homed to community.social-features.no-shared-place-between-runs	4914	gap 208	open-gap	aliens-fireteam-elite	community.social-features.unknown	102370596	-	no shared space (lobby) where a community can form between games	Let us chat in some sort of lobby and create an in game community.
built r401 game-design.world-interaction.no-home-base-that-shows-your-progress	7349	gap 343	one-sighting	arc-raiders	community.social-features.no-shared-place-between-runs	223339463	-	wants a private personal base where progress can be walked through	A dedicated, customizable 3D hideout... a physically navigable base would tie it all together for me.
built r401 community.social-features.no-trading-between-players	9179	round 384	one-sighting	warframe	community.social-features.unknown	1882353	-	no trading system (negative twin of the-player-market-works)	
built r401 community.social-features.hard-to-get-into-a-clan	9193	round 385	watch	warframe	community.social-features.unknown	776593	-	joining a clan is near impossible	
built r401 community.social-features.the-player-market-works-badly	9316	round 394	one-sighting	warframe	community.social-features.unknown	17820339	-	the market works badly (prices swing within a day)	
built r401 community.user-created-content.the-tools-taught-me-to-make-games	3265	gap 119	one-sighting	the-anacrusis	community.user-created-content.mods-extend-the-game	197189537	+	game's own tools taught the player to make games / career	helped me out with my career in making custom maps & level design in general!
built r401 community.user-created-content.even-mods-did-not-fix-it	5790	gap 253	open-gap	aliens-fireteam-elite	community.user-created-content.only-playable-after-modding	153076425	-	mods were tried and were not enough	even with mods this game is nearly impossible, needs to be tweaked and tweaked by the devs
built r401 game-design.game-feel.controls.the-menus-ignore-the-d-pad	8388	round 330	one-sighting	remnant-2	controls.unknown	154242725	-	controls.the-menus-ignore-the-d-pad	The navigation through the menu is being completely performed with your analog stick
built r401 engineering.performance.gets-slower-the-longer-you-play	8555	round 339	one-sighting	remnant-2	controls.unknown	203279608	-	controllers make the game lag after an hour and a half	
built r401 game-design.game-feel.controls.one-button-does-too-many-things	8555	round 339	one-sighting	remnant-2	controls.unknown	203833778	-	one button does three things (dodge, jump, climb)	
built r401 game-design.game-feel.controls.one-input-device-is-the-better-way	9219	round 387	one-sighting	warframe	controls.unknown	9210860	~	recommends a controller over mouse and keyboard as a preference	
existing r401 fits game-design.difficulty-tuning.random-rule-changes-frustrating	8043	round 316	one-sighting	space-marine-2	difficulty-tuning.random-rule-changes-frustrating	234734147	-	a modifier that removes a system rather than tunes it	effectively ruins the game on a cheap gimmick.
built r401 game-design.difficulty-tuning.the-top-setting-is-locked-at-the-start	8564	round 340	one-sighting	remnant-2	difficulty-tuning.unknown	213370670	-	max difficulty locked until the story is finished	
built r401 game-design.difficulty-tuning.swings-wildly-within-a-run	8718	round 358	one-sighting	risk-of-rain-2	difficulty-tuning.unknown	98585564	-	enemy and boss difficulty swings wildly inside a run	enemy and boss difficulty fluctuates wildly
built r401 accessibility.memory-and-attention.too-much-at-once-for-some-players	9039	round 376	one-sighting	risk-of-rain-2	difficulty-tuning.unknown	195505040	~	a warning: if you get overwhelmed easily do not play (screen and pressure together)	if you get overwhelmed easily do not play this game
existing r401 re-homed to game-design.co-op-design.more-players-makes-it-trivial	9282	round 392	one-sighting	warframe	difficulty-tuning.unknown	14582960	-	difficulty does not scale with the squad	one player difficult, two challenging, three ok, four too easy
skip: the 'first game had X' tally is open with Rico	8530	round 336	watch	remnant-2	enemy-design.bosses-are-a-chore	184993894	-	the first game had X pattern: marketing.positioning.the-sequel-dropped-something-the-first-game-had (Rico-open) - go back to the first game's boss/elite design	buy the first game
built r401 engineering.access.dies-when-the-servers-go	1718	gap 53	open-gap	redfall	engineering.access.requires-internet	137851128	-	always-online game dies when the studio does (negative twin of player-hosted-so-it-outlives-the-studio)	Since this is an always online game, the game will only last as long as the servers.
built r401 engineering.access.offline-mode-only-if-you-already-had-it	2260	gap 79	open-gap	redfall	engineering.access.requires-internet	227168510	-	offline mode only usable if enabled before the servers went	Only way to play it is if you've had it installed when offline mode was introduced
built r402 engineering.access.hard-to-delete-your-account	3406	gap 126	one-sighting	terminull-brigade	engineering.access.account-or-platform-gate	201488695	-	deleting the account is a maze (gate on the way out)	so many hoops to jump for deleting an account
built r402 engineering.access.had-to-find-the-fix-yourself	3892	gap 147	one-sighting	terminull-brigade	engineering.access.unknown	202735640	-	player had to search the internet ~20 minutes to make it run	spend 20 minutes sifting through tips and videos on how to fix something the developers should've handled.
existing r402 re-homed to live-ops.update-cadence.updating-eats-the-play-session	5407	gap 233	open-gap	aliens-fireteam-elite	engineering.access.unknown	128114816	-	patching is slower than reinstalling the game	It is literally quicker to uninstall and redownload the game than it is to let the game patch itself sometimes.
built r402 engineering.access.no-lan-play	8621	round 347	one-sighting	risk-of-rain-2	engineering.access.requires-internet	55005796	-	needs LAN play	hard to find the teleporter at times
built r402 engineering.access.the-extra-account-is-painless	9168	round 383	one-sighting	warframe	engineering.access.unknown	6074990	+	a required separate account that is painless (neutral/positive twin of account-or-platform-gate)	
existing r402 stays on will-not-start-at-all (the launcher also freezes; see round 392)	9268	round 391	one-sighting	warframe	engineering.access.will-not-start-at-all	14266703	-	slow download/update servers; launcher freezes verifying the cache	
existing r402 re-homed to engineering.platform-support.better-elsewhere	9285	round 392	one-sighting	warframe	engineering.access.will-not-start-at-all	14700535	-	the Steam build does not run but the studio's own launcher does	
built r402 engineering.bugs.a-skill-stops-working	8669	round 353	one-sighting	risk-of-rain-2	engineering.bugs.buggy	77622000	-	Captain loses his utility skill after a lunar item swap (one-item bug)	
built r402 engineering.bugs.the-objective-spawns-inside-the-scenery	9081	round 378	one-sighting	risk-of-rain-2	engineering.bugs.buggy	212816305	-	the teleporter spawns inside walls/blocked (placement fault, not wayfinding)	teleporter appeared on the edge of the map halfway into a wall
existing r402 re-homed to storefront.the-refund-clock-counts-time-i-was-not-playing	5190	gap 221	open-gap	aliens-fireteam-elite	engineering.matchmaking.slow-to-find-games	113401872	-	the wait for a team used up the refund window	I went over the 2 hour refund window while waiting the best part of an hour (during peak time) to find a teammate
built r402 engineering.matchmaking.the-queue-restarts-when-someone-leaves-it	5959	gap 260	open-gap	aliens-fireteam-elite	engineering.matchmaking.slow-to-find-games	165382662	-	the matchmaking queue restarts when someone gives up	those cues to get other 2 players are insane even longer if one gets tired of waiting and leaves to wait again.
existing r402 re-homed to community.player-conduct.players-teach-each-other-the-fix	6778	gap 307	open-gap	aliens-fireteam-elite	engineering.matchmaking.unknown	231704931	~	players pass round a workaround for the broken matchmaking	trying queing for the one you just did a lot of times the train behind you keeps moving forward & you can ride the wave.
built r402 engineering.matchmaking.sorting-by-conduct-made-it-bland	7149	gap 330	one-sighting	arc-raiders	engineering.matchmaking.unknown	209074506	-	aggression-based matchmaking rewards hiding	abmm incentivizes boring gameplay
built r402 engineering.matchmaking.sorting-by-conduct-made-it-bland	7151	gap 330	one-sighting	arc-raiders	engineering.matchmaking.unknown	220782723	-	aggression-based matchmaking made the game bland / too casual	the abmm killed this game for me... too casual
built r402 engineering.matchmaking.you-host-and-hope-someone-joins	7484	round 290	build-on-third	space-marine-2	engineering.matchmaking.unknown	174830168	-	engineering.matchmaking.you-host-and-hope-someone-joins	having to pray for randoms to join my lobby or be stuck with bots.
existing r402 re-homed to engineering.matchmaking.cannot-find-games (says only that it works sometimes)	7485	round 290	build-on-third	space-marine-2	engineering.matchmaking.unknown	174564158	-	engineering.matchmaking.you-host-and-hope-someone-joins	Online match making for coop only works sometimes.
built r402 engineering.matchmaking.no-skill-matching-is-a-relief	7617	round 296	one-sighting	space-marine-2	engineering.matchmaking.unknown	175777899	+	praise for the absence of skill-based matchmaking	no sbmm
built r402 engineering.matchmaking.no-way-out-of-a-joined-game	8581	round 342	one-sighting	remnant-2	engineering.matchmaking.unknown	220763473	-	no way to leave a quick-joined team except Alt-F4	
built r402 engineering.matchmaking.clumsy-to-use	8868	round 368	one-sighting	risk-of-rain-2	engineering.matchmaking.unknown	149731343	-	the lack of intuitive matchmaking holds back co-op with strangers	the lack of intuitive matchmaking is holding back some people from co-op with strangers
built r402 engineering.matchmaking.fills-your-game-with-players-automatically	9229	round 388	one-sighting	warframe	engineering.matchmaking.unknown	10386859	+	the game adds strangers to your session when you start alone (praise)	
built r403 engineering.netcode.idling-disconnects-you	4545	gap 188	one-sighting	aliens-fireteam-elite	engineering.netcode.unknown	98962466	-	disconnected for idling in a private bot lobby	I left for 20minutes to make breakfast in a private lobby with bots and got disconnected.
built r403 engineering.netcode.the-risk-of-a-drop-makes-you-play-safe	5473	gap 238	open-gap	aliens-fireteam-elite	engineering.netcode.unknown	130342858	-	fear of losing a run changes how the game is played	I don't want to experiment with builds... because I can instantly LOSE IT ALL at the drop of a hat.
existing r403 fits engineering.netcode.a-disconnect-loses-the-run	7250	gap 337	one-sighting	arc-raiders	engineering.netcode.a-disconnect-loses-the-run	217296549	-	rejoining after a crash puts you back in the run downed	it will let you reconnect giving you false hope you can salvage your run just to spawn in downed on 1hp
existing r403 stays on engineering.netcode.unknown (the line says only 'cannot play multiplayer', no cause)	8946	round 372	one-sighting	risk-of-rain-2	engineering.netcode.unknown	174481498	-	multiplayer broken after Seekers of the Storm	CANT MULTIPLAYER
built r403 engineering.performance.my-friends-cannot-run-it	1832	gap 59	open-gap	redfall	engineering.performance.demanding-hardware	138589356	-	hardware demands keep the buyer's group out	The only reason I bought this game was to play with my friends and they can't even run the game properly.
built r403 engineering.performance.locked-to-a-low-frame-rate	7418	round 287	one-sighting	arc-raiders	engineering.performance.unstable-framerate	234192662	-	frame rate locks low and alt-tabbing resets it	seems to cap at 26 fps, can untab and re tab in and get 150+fps but quickly drops down to 26.
built r403 engineering.performance.compiles-shaders-every-launch	7795	round 304	one-sighting	space-marine-2	engineering.performance.long-load-times	179588130	-	shader compilation on every start	
built r403 engineering.performance.slows-as-the-save-grows	8564	round 340	one-sighting	remnant-2	engineering.performance.only-runs-right-with-upscaling-on	206126223	-	performance degrades as the save file grows (gets worse over time)	
built r403 engineering.performance.poorly-optimised	8678	round 354	one-sighting	risk-of-rain-2	engineering.performance.unknown	81298531	-	needs to be optimized (no poorly-optimised mode)	needs to be optimized
